datatype,glanceid,name,tid,chain_tid,phys_group,events,files,status,timestamp,pr_id,campaign,ddm_erase_timestamp,vuid,grid_exec,se,file_size_mb
montecarlo,554,mc11_7TeV.107653.AlpgenJimmyZeeNp3_pt20.merge.log.e835_s1299_s1300_r3043_r2993_p955_tid752551_00,752551,752551,gr_Higgs,0,NULL,deleted,NULL,NULL,NULL,NULL,07ad8842-7a82-11e1-98aa-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107661.AlpgenJimmyZmumuNp1_pt20.merge.NTUP_SMWZ.e835_s1299_s1300_r2730_r2780_p756_tid572651_00,572651,572651,gr_SM,0,NULL,deleted,NULL,NULL,NULL,NULL,7a7750f4-fff5-11e0-a41c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107684.AlpgenJimmyWenuNp4_pt20.merge.log.e825_a131_s1353_tid536008_00,536008,536008,Physics,0,NULL,deleted,NULL,NULL,NULL,NULL,31181268-f361-11e0-8072-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107673.AlpgenJimmyZtautauNp3_pt20.merge.NTUP_TAUSMALL.e835_s1299_s1300_r2730_r2700_p795_tid590535_00,590535,590535,gr_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,9f9f088e-117c-11e1-b6db-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107672.AlpgenJimmyZtautauNp2_pt20.merge.NTUP_TOPBOOST.e835_s1299_s1300_r3043_r2993_p841_tid662239_00,662239,662239,gr_Exotics,0,NULL,deleted,NULL,NULL,NULL,NULL,ef675d18-412d-11e1-add9-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107692.AlpgenJimmyWmunuNp2_pt20.merge.NTUP_SUSYRAZOR.e825_s1299_s1300_r3043_r2993_p935_tid766998_00,766998,766998,gr_Susy,0,NULL,group,NULL,NULL,NULL,NULL,af08f872-85ce-11e1-b3fc-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107675.AlpgenJimmyZtautauNp5_pt20.recon.log.e835_s1299_s1300_r2920_tid582232_00,582232,582232,Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,3e0728ca-0c4c-11e1-8c11-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107683.AlpgenJimmyWenuNp3_pt20.merge.NTUP_HSG5WH.e825_s1299_s1300_r3043_r2993_p833_tid663876_00,663876,663876,gr_Higgs,0,NULL,frozen,NULL,NULL,NULL,NULL,a66226aa-4206-11e1-94c4-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107660.AlpgenJimmyZmumuNp0_pt20.merge.NTUP_SUSY01LEP.e835_s1299_s1300_r2730_r2780_p774_tid574659_00,574659,574659,gr_Susy,0,NULL,frozen,NULL,NULL,NULL,NULL,077dd214-0179-11e1-83fa-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107692.AlpgenJimmyWmunuNp2_pt20.merge.NTUP_TAUMEDIUM.e825_s1299_s1300_r3043_r2993_p851_tid654146_00,654146,654146,gr_Tau,0,NULL,frozen,NULL,NULL,NULL,NULL,7da21baa-3c14-11e1-a89c-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107670.AlpgenJimmyZtautauNp0_pt20.simul.log.e835_s1299_tid495185_13,495185,495185,Top,0,NULL,deleted,NULL,NULL,NULL,NULL,8a287308-c7f0-11e0-a436-00155dff097a,panda,unknown,0
montecarlo,554,mc11_7TeV.107655.AlpgenJimmyZeeNp5_pt20.recon.AOD.e835_s1299_s1300_r2820_tid577786_00,577786,577786,Higgs,0,NULL,deleted,NULL,NULL,NULL,NULL,65214cd4-04d5-11e1-ac58-00155dff097a,panda,unknown,0
